TIPO,Residencial,Comercial,Industrial/Comercial Grande,TOTAL
1/1/2015,5.096.406,3.362.160,3.247.624,11.706.190
1/2/2015,4.438.153,3.076.341,3.150.592,10.665.087
1/3/2015,4.823.968,3.263.679,3.460.880,11.548.527
1/4/2015,3.756.853,2.962.997,3.306.585,10.026.435
1/5/2015,4.224.673,2.979.187,3.263.774,10.467.634
1/6/2015,4.941.276,3.090.851,3.222.293,11.254.420
1/7/2015,5.513.161,3.167.257,3.226.944,11.907.362
1/8/2015,4.797.705,3.107.591,3.224.967,11.130.263
1/9/2015,4.350.514,2.974.028,3.228.362,10.552.903
1/10/2015,4.362.417,3.011.162,3.348.595,10.722.174
1/11/2015,3.922.901,2.974.462,3.321.826,10.219.189
1/12/2015,5.196.472,3.381.377,3.331.586,11.909.436
1/1/2016,5.651.445,3.444.350,3.249.117,12.344.912
1/2/2016,5.012.873,3.502.591,3.216.381,11.731.845
1/3/2016,4.021.325,3.147.650,3.292.501,10.461.476
1/4/2016,4.104.174,3.012.916,3.174.911,10.292.001
1/5/2016,4.941.165,3.243.976,3.172.871,11.358.012
1/6/2016,5.634.190,3.227.939,2.950.818,11.812.947
1/7/2016,5.614.535,3.277.709,3.037.401,11.929.645
1/8/2016,4.663.796,3.155.139,3.036.507,10.855.442
1/9/2016,4.351.182,2.996.680,3.034.220,10.382.081
1/10/2016,3.953.448,2.954.785,3.047.807,9.956.039
1/11/2016,3.970.328,3.054.089,3.108.124,10.132.541
1/12/2016,5.148.818,3.523.041,3.181.996,11.853.854
1/1/2017,5.681.817,3.670.275,3.172.774,12.524.866
1/2/2017,4.618.226,3.415.380,3.041.300,11.074.906
1/3/2017,4.470.715,3.307.775,3.343.742,11.122.232
1/4/2017,3.754.330,2.900.824,3.138.604,9.793.759
1/5/2017,4.524.025,3.032.368,3.238.820,10.795.213
1/6/2017,5.180.585,3.071.334,3.107.412,11.359.331
1/7/2017,5.460.616,3.170.033,3.165.777,11.796.426
1/8/2017,4.767.355,3.124.973,3.214.923,11.107.251
1/9/2017,4.217.809,3.010.748,3.120.028,10.348.585
1/10/2017,3.979.758,3.041.199,3.206.372,10.227.329
1/11/2017,4.035.416,3.070.869,3.249.442,10.355.727
1/12/2017,5.216.357,3.551.645,3.256.593,12.024.595
1/1/2018,5.468.424,3.606.989,3.274.771,12.350.183
1/2/2018,4.963.782,3.277.824,3.162.597,11.404.203
1/3/2018,4.492.917,3.342.914,3.411.411,11.247.242
1/4/2018,4.084.110,3.131.427,3.277.777,10.493.315
1/5/2018,4.276.830,3.101.854,3.286.778,10.665.462
1/6/2018,5.569.775,3.231.036,3.123.287,11.924.098
1/7/2018,6.167.114,3.326.186,3.112.541,12.605.842
1/8/2018,5.359.054,3.237.765,3.112.882,11.709.701
